"id";"numero_cte";"xml_cte_sftp";"xml_par_sftp";"pod_par_sftp";"situacao"
"8502";"000048801";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8583";"000048802";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8512";"000048803";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8501";"000048805";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8422";"000048808";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8506";"000048809";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8643";"000048810";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8462";"000048811";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8554";"000048812";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8559";"000048814";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8665";"000048815";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8612";"000048816";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8673";"000048818";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8655";"000048820";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8433";"000048822";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8576";"000048823";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8570";"000048824";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8415";"000048825";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8658";"000048859";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8530";"000048860";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8586";"000048861";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8348";"000048863";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8371";"000048865";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8431";"000048867";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8374";"000048869";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
